latitude,longitude,neighbourhood_cleansed,property_type,room_type,review_scores_rating,accommodates,bedrooms,beds,price,rating_bucket
41.8738544273578,-87.6850328889451,Near West Side,Entire rental unit,Entire home/apt,5.0,5,2.0,3.0,100.0,4.9-5.0
41.950484,-87.655919,Lake View,Entire rental unit,Entire home/apt,5.0,6,2.0,2.0,400.0,4.9-5.0
41.93236658340683,-87.68649514764547,Logan Square,Entire home,Entire home/apt,4.95,6,3.0,3.0,255.0,4.9-5.0
41.83992,-87.64246,Bridgeport,Entire rental unit,Entire home/apt,4.81,4,2.0,2.0,87.0,4.8-4.9
41.85495209671524,-87.62541074248028,Near South Side,Entire rental unit,Entire home/apt,4.9,12,6.0,6.0,491.0,4.8-4.9
41.89562,-87.6551,West Town,Entire home,Entire home/apt,5.0,16,4.0,9.0,798.0,4.9-5.0
41.90947567228414,-87.67191360883243,West Town,Entire condo,Entire home/apt,5.0,5,2.0,3.0,161.0,4.9-5.0
41.9293352,-87.70525099999999,Logan Square,Entire rental unit,Entire home/apt,5.0,5,3.0,3.0,142.0,4.9-5.0
41.95457479446211,-87.71689452453253,Irving Park,Entire rental unit,Entire home/apt,4.94,7,3.0,4.0,99.0,4.9-5.0
41.756144,-87.6104514,Greater Grand Crossing,Entire rental unit,Entire home/apt,4.45,4,2.0,2.0,86.0,4.25-4.5
41.89336697663143,-87.77290134228149,Austin,Entire rental unit,Entire home/apt,5.0,4,2.0,2.0,118.0,4.9-5.0
41.9675044,-87.74374949999999,Irving Park,Entire home,Entire home/apt,4.94,5,2.0,2.0,125.0,4.9-5.0
41.794628,-87.5969618,Hyde Park,Entire condo,Entire home/apt,4.0,3,2.0,1.0,65.0,3.5-4.0
41.89105,-87.67985,West Town,Entire home,Entire home/apt,5.0,14,4.0,7.0,1290.0,4.9-5.0
41.7624082,-87.5646539,South Shore,Private room in rental unit,Private room,4.67,2,1.0,1.0,60.0,4.6-4.7
41.7624082,-87.5646539,South Shore,Private room in rental unit,Private room,4.33,2,1.0,1.0,55.0,4.25-4.5
41.93631764835209,-87.66219566486411,Lake View,Private room in townhouse,Private room,4.95,2,1.0,1.0,111.0,4.9-5.0
41.92627,-87.69101,Logan Square,Entire rental unit,Entire home/apt,4.78,12,3.0,4.0,140.0,4.7-4.8
